target_genesymbol,a_pred_both,a_pred_a,a_pred_n,a_pred_none,n_pred_both,n_pred_a,n_pred_n,n_pred_none
ache,0,3,11,0,0,0,8,0
adora2a,0,3,11,0,0,0,4,0
adrb1,1,12,10,0,0,0,5,0
adrb2,0,23,7,0,0,91,267,0
ar,0,45,25,11,0,20,390,61
avpr1a,0,1,1,1,0,0,175,142
cckar,0,0,1,0,0,0,3,0
chrm1,0,16,7,44,0,13,112,171
chrm2,0,13,31,0,0,0,1,0
chrm3,0,8,30,3,0,0,0,0
cnr1,0,5,2,0,0,0,1,0
cnr2,0,4,0,0,0,0,0,0
drd1,0,36,17,43,0,11,122,153
drd2,0,23,3,35,0,1,140,106
ednra,0,1,3,0,0,0,2,0
htr1a,0,20,2,40,0,1,46,55
htr2a,0,13,8,37,0,7,167,110
kcnh2,0,26,21,26,0,5,218,111
lck,2,7,10,0,0,0,5,0
maoa,0,3,10,0,0,0,18,0
nr3c1,0,28,25,19,0,7,366,74
oprd1,0,7,13,3,0,1,2,0
oprk1,0,6,8,10,0,4,124,92
oprm1,0,14,10,12,0,0,7,4
pde3a,0,1,1,0,0,0,0,0
ptgs1,4,11,7,0,1,1,8,0
ptgs2,2,8,8,0,0,0,10,0
scn5a,0,0,5,0,0,0,3,0
slc6a2,0,16,55,1,0,0,2,0
slc6a3,0,5,11,37,0,1,133,92
slc6a4,0,14,38,13,0,1,0,2
